tool_name,repo_full_name,package_name,category
dbt,dbt-labs/dbt-core,dbt-core,transformation
dbt-duckdb,duckdb/dbt-duckdb,dbt-duckdb,transformation
sqlmesh,TobikoData/sqlmesh,sqlmesh,transformation
dagster,dagster-io/dagster,dagster,orchestration
airflow,apache/airflow,apache-airflow,orchestration
prefect,PrefectHQ/prefect,prefect,orchestration
mage,mage-ai/mage-ai,mage-ai,orchestration
airbyte,airbytehq/airbyte,,ingestion
dlt,dlt-hub/dlt,dlt,ingestion
meltano,meltano/meltano,meltano,ingestion
duckdb,duckdb/duckdb,duckdb,storage
clickhouse,ClickHouse/ClickHouse,,storage
iceberg,apache/iceberg,,storage
evidence,evidence-dev/evidence,,bi
metabase,metabase/metabase,,bi
superset,apache/superset,apache-superset,bi
lightdash,lightdash/lightdash,,bi
